date,hour,day,post_type,category,traffic_source,cta,likes,comments,shares,saves,impressions,followers_gained,caption_length,hashtags
2024-12-01,1,Sunday,reel,Comedy,Reels Feed,0,0,6,14,42,17200,336,114,5
2025-11-08,7,Saturday,carousel,Technology,Reels Feed,0,12,0,0,2,845,311,110,6
2025-04-11,7,Friday,image,Travel,External,1,927,21,47,151,21598,621,130,9
2025-07-10,7,Thursday,image,Fitness,Hashtags,0,197,0,7,36,11331,907,111,7
2024-11-25,16,Monday,image,Comedy,External,1,332,9,13,44,10099,359,142,10
2025-01-24,6,Friday,image,Travel,Explore,1,162,2,4,25,6342,184,124,10
2025-10-21,2,Tuesday,reel,Photography,Reels Feed,0,36,1,2,10,3085,872,125,10
2025-06-09,0,Monday,carousel,Comedy,Reels Feed,1,182,10,11,18,4780,409,93,2
2025-06-28,4,Saturday,image,Photography,External,0,796,17,36,120,14927,419,141,8
2025-07-29,15,Tuesday,reel,Music,Profile,0,380,11,18,50,7384,924,104,5
2025-05-17,3,Saturday,image,Travel,Hashtags,0,114,1,4,13,2605,49,128,5
2024-12-08,14,Sunday,carousel,Fitness,Home Feed,1,133,2,12,18,3232,335,131,10
2025-07-23,22,Wednesday,carousel,Technology,External,0,109,1,8,12,3478,885,115,11
2025-04-15,16,Tuesday,reel,Beauty,External,1,149,1,6,26,7116,370,144,10
2025-03-12,16,Wednesday,reel,Food,Reels Feed,1,166,3,9,27,4009,426,122,6
2025-10-15,12,Wednesday,reel,Fashion,Hashtags,0,28,2,2,8,3165,870,120,8
2025-05-09,23,Friday,image,Fitness,External,1,336,12,14,47,7017,514,108,6
2025-04-22,10,Tuesday,image,Travel,Profile,0,273,8,17,41,18325,947,129,9
2025-02-19,15,Wednesday,carousel,Beauty,External,0,154,5,8,23,5996,637,115,6
2025-07-23,3,Wednesday,reel,Fitness,External,0,96,1,4,12,3508,576,130,5
2025-04-21,14,Monday,carousel,Travel,Home Feed,1,179,3,10,21,3141,621,103,13
2025-02-15,11,Saturday,image,Lifestyle,Reels Feed,0,88,3,4,15,7887,669,134,6
2025-02-11,13,Tuesday,reel,Lifestyle,External,0,89,0,3,18,3197,685,127,9
2025-10-14,12,Tuesday,reel,Photography,Explore,0,25,0,0,6,1645,574,116,10
2024-12-20,8,Friday,image,Fitness,Hashtags,0,387,8,18,59,11008,80,111,10
2025-08-23,14,Saturday,image,Lifestyle,Reels Feed,0,210,5,14,23,5562,92,127,6
2024-12-17,15,Tuesday,reel,Travel,Profile,1,222,13,9,38,4484,718,136,8
2025-03-20,9,Thursday,carousel,Photography,Explore,0,830,20,32,115,23815,493,123,6
2025-06-27,4,Friday,image,Travel,Profile,1,305,9,12,42,8748,360,106,6
2025-07-06,10,Sunday,image,Photography,Hashtags,1,611,20,27,89,32271,886,115,8
2025-07-04,5,Friday,carousel,Fitness,External,1,46,1,1,3,4043,335,138,11
2025-04-22,10,Tuesday,carousel,Beauty,Home Feed,1,80,1,3,13,1646,524,115,5
2024-12-31,1,Tuesday,image,Technology,Reels Feed,0,112,3,7,20,5470,816,125,6
2025-06-17,18,Tuesday,reel,Comedy,External,0,377,12,18,45,11663,358,151,6
2025-02-08,22,Saturday,carousel,Beauty,Reels Feed,0,222,11,12,38,11199,244,130,6
2025-05-09,14,Friday,carousel,Music,Home Feed,1,56,2,4,11,1925,555,126,2
2025-07-26,11,Saturday,carousel,Travel,External,1,171,0,12,29,6041,228,117,8
2025-10-30,6,Thursday,image,Music,External,0,147,5,6,18,3019,741,110,8
2025-01-23,5,Thursday,reel,Beauty,Hashtags,0,283,8,13,50,8206,215,106,7
2025-04-12,10,Saturday,image,Photography,Reels Feed,0,374,20,18,57,8922,145,122,2
2025-06-29,3,Sunday,carousel,Comedy,Profile,0,98,2,7,17,6205,974,137,11
2024-12-14,13,Saturday,carousel,Comedy,Reels Feed,0,442,14,26,62,17187,73,134,7
2025-10-20,9,Monday,image,Fashion,Explore,0,20,0,1,0,927,730,132,11
2025-06-02,14,Monday,carousel,Comedy,Hashtags,0,424,16,14,69,8267,550,133,11
2025-02-21,3,Friday,image,Technology,External,0,304,10,10,46,6248,290,128,8
2025-04-11,12,Friday,carousel,Comedy,Hashtags,0,208,6,11,23,4755,52,105,6
2025-04-27,7,Sunday,carousel,Beauty,External,0,103,1,2,19,7960,632,128,6
2025-06-26,23,Thursday,image,Fashion,Profile,0,217,8,11,41,5311,214,106,12
2025-01-03,7,Friday,carousel,Beauty,Reels Feed,1,264,15,14,44,18409,109,111,7
2025-06-21,12,Saturday,image,Beauty,Home Feed,0,549,16,34,76,22997,615,147,3
2025-07-09,10,Wednesday,image,Food,External,0,154,6,9,20,7514,858,120,9
2025-08-11,4,Monday,image,Fashion,Reels Feed,0,236,6,9,35,9462,265,138,10
2025-04-12,17,Saturday,image,Beauty,Explore,0,77,1,6,13,3116,550,112,3
2025-03-06,17,Thursday,reel,Food,Profile,0,102,0,5,15,4339,104,122,7
2025-06-02,1,Monday,carousel,Food,Reels Feed,0,859,28,33,132,27322,852,118,12
2025-06-16,21,Monday,carousel,Fashion,Profile,0,266,8,12,42,4195,749,117,9
2025-08-03,14,Sunday,reel,Music,External,1,198,6,7,17,14676,481,129,9
2025-08-30,4,Saturday,image,Photography,External,1,126,4,8,16,2454,859,120,9
2025-09-10,19,Wednesday,image,Technology,Profile,0,103,4,5,12,2446,576,133,9
2025-02-01,3,Saturday,carousel,Photography,Home Feed,0,96,3,6,15,6557,682,109,10
2024-11-21,7,Thursday,carousel,Comedy,External,1,194,0,4,22,3894,534,118,5
2024-12-18,17,Wednesday,reel,Technology,Hashtags,0,49,0,2,11,3779,914,106,8
2025-01-31,20,Friday,image,Comedy,Hashtags,1,86,1,5,13,7357,340,111,13
2024-11-21,22,Thursday,carousel,Beauty,External,0,57,0,3,6,4511,335,96,10
2025-02-18,14,Tuesday,carousel,Travel,Home Feed,1,58,1,1,10,6162,31,100,7
2025-06-16,11,Monday,image,Fashion,Home Feed,0,760,18,48,128,21812,445,93,2
2024-12-19,6,Thursday,image,Technology,Explore,0,270,0,9,37,6237,105,106,12
2025-11-16,15,Sunday,image,Technology,Profile,0,161,4,5,34,8249,905,106,8
2025-01-26,7,Sunday,reel,Beauty,Reels Feed,0,78,1,4,0,1958,934,124,8
2025-03-11,13,Tuesday,image,Music,Profile,0,266,10,10,0,8490,205,112,7
2025-06-29,18,Sunday,carousel,Food,External,0,388,14,21,61,40087,975,109,2
2025-06-02,17,Monday,image,Beauty,Hashtags,0,38,2,1,5,4989,442,128,9
2025-06-26,7,Thursday,image,Lifestyle,Home Feed,0,714,23,24,95,13440,170,123,6
2025-03-28,15,Friday,reel,Food,Home Feed,0,182,5,9,21,5553,842,122,7
2025-04-07,8,Monday,image,Fashion,External,1,111,3,6,15,2690,724,130,9
2025-08-15,0,Friday,image,Food,Hashtags,1,0,3,1,17,3043,109,111,9
2025-04-30,7,Wednesday,image,Music,Explore,0,409,15,27,75,14101,41,119,7
2025-03-05,6,Wednesday,image,Food,Explore,0,666,11,36,96,15371,71,126,7
2025-05-12,7,Monday,image,Fashion,Explore,0,92,3,3,23,8527,151,136,11
2025-02-05,12,Wednesday,reel,Music,Reels Feed,0,118,5,4,18,5060,444,112,8
2025-07-29,2,Tuesday,image,Photography,External,0,625,20,33,98,12620,964,124,9
2025-04-30,1,Wednesday,carousel,Technology,Reels Feed,0,237,9,9,37,6992,95,128,7
2025-03-10,12,Monday,image,Technology,External,1,117,3,7,15,6192,495,123,10
2025-04-20,3,Sunday,reel,Comedy,Reels Feed,0,20,0,1,4,1496,881,118,6
2025-06-24,22,Tuesday,image,Photography,Reels Feed,0,558,16,26,92,10904,88,131,5
2024-12-22,1,Sunday,carousel,Photography,Hashtags,1,191,9,10,24,4239,291,126,10
2025-10-30,22,Thursday,carousel,Food,Reels Feed,1,127,4,6,25,8126,196,129,8
2025-10-10,6,Friday,image,Technology,Reels Feed,0,164,5,8,26,6617,762,108,6
2025-06-14,8,Saturday,carousel,Fashion,Reels Feed,0,89,6,3,8,8609,313,121,11
2025-09-24,18,Wednesday,reel,Fitness,Explore,1,129,4,7,16,7061,817,123,8
2025-06-07,8,Saturday,image,Fitness,Explore,0,114,3,9,25,2227,755,112,10
2025-07-13,22,Sunday,reel,Music,Home Feed,0,155,4,7,21,2740,594,119,3
2024-12-13,10,Friday,image,Technology,Reels Feed,0,196,11,14,31,3626,314,93,11
2025-08-14,12,Thursday,image,Technology,Hashtags,0,158,4,10,15,7778,622,110,10
2024-11-24,7,Sunday,image,Fitness,Profile,0,174,9,7,23,6653,423,126,6
2025-10-02,13,Thursday,reel,Technology,Home Feed,1,854,26,34,115,25478,308,112,4
2025-09-29,18,Monday,image,Food,External,0,25,1,0,2,2870,998,122,8
2025-04-29,4,Tuesday,carousel,Lifestyle,Explore,0,680,18,18,102,20743,132,142,7
2025-02-04,15,Tuesday,carousel,Travel,Reels Feed,0,164,3,9,23,15222,934,114,13
2025-04-10,6,Thursday,reel,Photography,Explore,1,256,6,12,38,6432,980,115,7
2024-12-07,23,Saturday,reel,Comedy,Profile,0,77,2,6,15,3303,473,128,8
2025-06-11,13,Wednesday,reel,Music,External,0,321,8,15,60,10929,372,126,8
2025-08-31,21,Sunday,reel,Lifestyle,Home Feed,0,200,6,0,20,4268,189,120,12
2025-08-21,21,Thursday,image,Fitness,Hashtags,0,47,4,3,12,1534,337,133,7
2025-01-20,4,Monday,image,Photography,Hashtags,0,86,3,6,20,4427,622,118,6
2025-04-25,19,Friday,reel,Technology,Hashtags,0,57,1,5,8,4534,144,128,7
2025-05-25,15,Sunday,reel,Comedy,Hashtags,0,181,6,11,27,11580,738,129,2
2025-01-11,6,Saturday,image,Technology,Explore,0,385,7,18,58,6949,331,100,9
2024-12-06,20,Friday,image,Fashion,External,0,0,13,19,78,9748,59,112,8
2025-11-08,15,Saturday,carousel,Fashion,External,1,325,13,15,43,9306,851,105,3
2025-08-08,23,Friday,carousel,Comedy,Reels Feed,1,75,4,2,10,2257,345,118,6
2025-10-01,11,Wednesday,image,Comedy,Profile,0,947,31,47,140,17917,740,115,3
2025-06-19,15,Thursday,reel,Fitness,Home Feed,0,399,8,27,71,17389,59,125,12
2025-07-18,16,Friday,image,Comedy,Hashtags,1,81,3,6,15,4812,265,104,10
2025-04-23,7,Wednesday,image,Food,Explore,0,261,6,11,36,6878,912,114,13
2025-06-19,11,Thursday,carousel,Technology,Profile,0,585,14,0,72,10583,511,131,8
2025-09-04,4,Thursday,reel,Lifestyle,Hashtags,0,513,12,35,80,12127,78,133,11
2025-06-25,3,Wednesday,carousel,Beauty,Hashtags,0,211,6,12,37,12127,346,129,8
2024-12-17,21,Tuesday,image,Comedy,Profile,1,344,11,11,53,6645,40,99,6
2025-05-17,22,Saturday,carousel,Music,Profile,0,194,5,6,37,14693,908,114,4
2025-09-27,18,Saturday,image,Fashion,Explore,0,180,6,8,30,4006,282,103,9
2025-05-20,11,Tuesday,image,Food,Profile,0,455,8,21,59,11112,474,107,5
2025-09-05,3,Friday,carousel,Photography,Reels Feed,1,166,2,13,26,4383,142,115,16
2025-06-20,6,Friday,image,Beauty,External,0,399,9,22,62,13840,840,116,5
2025-09-01,6,Monday,carousel,Lifestyle,Explore,0,152,0,8,22,7417,59,113,8
2024-12-23,18,Monday,carousel,Beauty,Reels Feed,0,217,8,16,33,7146,459,139,9
2025-09-28,2,Sunday,image,Comedy,Reels Feed,0,174,6,7,28,3539,866,122,7
2025-02-07,23,Friday,image,Fitness,Explore,0,539,20,31,92,16257,646,121,7
2025-05-06,23,Tuesday,carousel,Fashion,Explore,0,386,0,14,50,16108,363,113,7
2025-08-27,18,Wednesday,reel,Fashion,Home Feed,0,103,5,4,13,3366,644,136,6
2025-09-11,22,Thursday,carousel,Photography,Reels Feed,1,157,4,6,26,3039,866,119,11
2025-01-02,18,Thursday,reel,Fitness,External,0,61,2,2,7,2915,837,109,2
2025-02-19,12,Wednesday,carousel,Technology,Hashtags,0,94,1,3,10,8842,758,133,6
2024-12-26,13,Thursday,carousel,Travel,Hashtags,0,95,4,4,12,4386,919,134,6
2025-06-05,17,Thursday,image,Food,Home Feed,0,682,18,43,111,16144,797,105,7
2025-06-05,6,Thursday,reel,Fashion,Hashtags,1,46,1,4,0,4379,15,129,7
2025-02-23,12,Sunday,carousel,Music,Explore,0,165,4,7,26,6655,610,144,10
2025-11-14,23,Friday,carousel,Fashion,Explore,0,181,5,11,20,7710,200,108,10
2025-02-14,13,Friday,image,Beauty,Profile,0,68,2,4,6,4271,682,134,12
2025-04-27,16,Sunday,image,Fashion,Home Feed,1,105,1,5,10,1870,898,87,10
2024-12-26,14,Thursday,image,Fashion,Profile,0,0,2,6,18,3959,930,117,16
2024-12-31,8,Tuesday,reel,Travel,Hashtags,1,121,5,5,16,4126,332,111,10
2025-04-27,1,Sunday,image,Travel,Reels Feed,0,247,9,15,34,4378,248,105,5
2025-03-15,2,Saturday,image,Lifestyle,Home Feed,1,36,1,0,9,3248,90,120,9
2025-07-25,7,Friday,carousel,Technology,External,0,852,28,33,137,16150,671,121,9
2025-05-17,17,Saturday,reel,Music,Home Feed,0,335,9,14,49,6853,921,135,4
2025-11-17,22,Monday,image,Fashion,Explore,1,71,1,4,6,5658,802,127,6
2025-09-01,10,Monday,image,Fashion,Reels Feed,1,290,5,13,43,5194,193,104,14
2025-10-01,23,Wednesday,image,Food,External,1,111,7,7,22,7565,750,117,10
2025-02-27,9,Thursday,carousel,Travel,Explore,0,1244,33,69,168,20073,345,117,8
2024-11-29,20,Friday,reel,Music,Hashtags,1,173,8,7,21,6608,152,127,10
2025-06-06,10,Friday,carousel,Photography,Reels Feed,0,75,4,2,7,4973,273,131,11
2025-10-21,2,Tuesday,image,Lifestyle,Explore,0,48,1,3,7,2336,387,126,9
2025-11-01,11,Saturday,image,Technology,Profile,0,1852,61,89,327,49836,761,129,10
2025-03-01,8,Saturday,reel,Fitness,Hashtags,0,86,2,3,10,7176,9,128,5
2025-11-07,11,Friday,reel,Technology,External,1,68,2,1,9,1321,712,130,10
2025-07-27,13,Sunday,carousel,Beauty,External,0,342,10,22,51,5494,474,118,6
2025-01-18,12,Saturday,reel,Fashion,Home Feed,0,75,1,8,8,1956,274,128,6
2025-02-22,7,Saturday,reel,Lifestyle,Hashtags,0,75,2,5,8,1792,103,125,10
2025-03-18,2,Tuesday,carousel,Beauty,Profile,1,757,37,43,0,15932,891,115,4
2025-03-12,23,Wednesday,image,Music,External,0,101,5,4,26,4078,483,118,10
2024-12-11,18,Wednesday,image,Fitness,Home Feed,0,77,3,3,16,3646,296,129,13
2025-01-25,5,Saturday,carousel,Travel,Hashtags,0,108,3,5,13,4229,720,109,9
2025-01-09,15,Thursday,image,Lifestyle,External,0,306,8,15,53,4579,826,110,5
2025-10-08,13,Wednesday,carousel,Lifestyle,Hashtags,0,126,8,6,15,4298,154,139,8
2025-01-10,0,Friday,image,Fashion,Home Feed,0,199,6,11,27,8107,660,112,12
2025-01-27,19,Monday,reel,Comedy,Hashtags,0,50,2,2,7,2535,529,127,10
2025-04-22,7,Tuesday,image,Lifestyle,Reels Feed,0,104,0,3,12,2219,70,102,16
2025-08-14,5,Thursday,reel,Food,Hashtags,0,1348,46,71,226,23854,252,125,7
2025-06-28,4,Saturday,reel,Fitness,Home Feed,1,244,10,12,37,7234,104,121,5
2024-11-30,21,Saturday,reel,Fitness,Profile,1,46,1,3,6,3982,625,120,11
2025-04-02,6,Wednesday,reel,Food,External,0,501,21,20,0,8543,391,114,5
2025-05-14,0,Wednesday,reel,Photography,Explore,0,222,5,13,38,5043,556,114,10
2025-03-31,12,Monday,image,Food,Home Feed,0,0,4,5,26,3544,332,129,4
2025-03-14,15,Friday,image,Food,External,0,104,3,5,17,5060,860,122,12
2025-05-25,18,Sunday,carousel,Fitness,Profile,0,539,16,27,78,14704,241,120,8
2025-09-04,11,Thursday,image,Technology,Profile,1,410,6,23,60,8900,376,109,3
2025-07-30,13,Wednesday,reel,Fitness,External,1,287,11,13,44,8280,14,106,6
2025-11-17,14,Monday,reel,Comedy,Profile,1,339,8,20,46,10794,496,140,7
2025-03-08,11,Saturday,reel,Fashion,Profile,0,307,9,16,58,13040,746,128,7
2025-03-16,16,Sunday,image,Beauty,Reels Feed,0,384,3,27,72,14718,888,121,10
2025-11-19,8,Wednesday,image,Technology,Hashtags,0,603,21,24,102,9230,913,138,12
2025-02-04,3,Tuesday,carousel,Travel,Profile,1,574,17,30,65,13024,901,139,10
2025-08-31,17,Sunday,carousel,Beauty,External,0,339,8,14,51,7829,917,142,8
2025-02-26,11,Wednesday,reel,Fashion,External,0,148,0,11,18,10975,287,119,8
2024-12-19,10,Thursday,carousel,Comedy,Home Feed,1,512,13,15,69,23262,315,131,8
2025-02-03,20,Monday,image,Comedy,Home Feed,1,304,13,12,55,13203,838,128,11
2025-08-27,1,Wednesday,reel,Travel,Hashtags,0,194,2,12,27,7066,603,114,8
2025-02-15,22,Saturday,carousel,Technology,Hashtags,0,66,3,3,10,2940,119,126,6
2024-12-08,19,Sunday,reel,Photography,Reels Feed,0,380,3,20,58,9307,685,108,12
2025-09-17,20,Wednesday,image,Food,Reels Feed,1,174,7,9,32,7096,912,136,4
2024-12-31,13,Tuesday,carousel,Technology,External,0,38,0,3,0,5767,490,114,6
2025-08-28,11,Thursday,carousel,Photography,Profile,0,308,7,22,48,6098,201,133,5
2025-02-01,1,Saturday,reel,Comedy,Explore,1,309,6,11,41,5236,257,109,9
2025-03-14,10,Friday,reel,Fitness,Explore,0,64,4,2,7,6117,286,128,3
2025-07-16,4,Wednesday,image,Fashion,Reels Feed,0,326,13,14,48,6096,727,113,10
2025-04-08,13,Tuesday,carousel,Travel,Profile,1,190,9,14,27,5504,724,123,9
2025-08-22,14,Friday,image,Fashion,Home Feed,0,189,3,7,24,6285,773,130,4
2025-03-19,19,Wednesday,reel,Music,Hashtags,0,488,14,26,74,10109,766,119,8
2025-02-21,2,Friday,carousel,Music,Profile,1,429,17,21,51,20304,273,129,8
2025-04-27,16,Sunday,reel,Technology,Home Feed,1,101,4,3,10,8914,274,115,14
2025-11-13,5,Thursday,image,Comedy,External,0,349,8,15,43,11593,193,104,7
2025-04-15,6,Tuesday,image,Comedy,Explore,1,267,5,6,43,12379,997,125,4
2025-10-21,12,Tuesday,carousel,Food,Hashtags,1,77,2,2,11,3562,517,113,13
2025-09-09,0,Tuesday,reel,Food,Profile,1,54,1,4,7,1332,671,143,10
2025-03-19,12,Wednesday,carousel,Food,Reels Feed,1,150,3,3,34,7093,710,106,6
2025-10-26,5,Sunday,image,Fitness,Home Feed,0,131,4,5,8,4899,459,130,7
2025-05-26,16,Monday,image,Beauty,External,0,2167,58,111,326,45610,719,111,9
2025-11-04,5,Tuesday,carousel,Lifestyle,Reels Feed,0,321,9,15,47,6712,233,120,10
2025-09-27,3,Saturday,image,Beauty,External,0,438,10,17,60,15335,553,135,10
2025-04-26,5,Saturday,image,Fashion,External,0,332,10,17,47,4628,622,116,4
2025-03-23,0,Sunday,reel,Beauty,Home Feed,1,215,9,11,36,4985,78,125,6
2025-01-30,0,Thursday,reel,Fitness,External,1,172,7,9,25,3213,248,114,11
2025-04-27,18,Sunday,image,Fashion,Explore,0,168,4,6,23,5658,456,115,12
2025-05-15,21,Thursday,reel,Beauty,Hashtags,1,1008,54,36,147,6211,994,107,11
2024-12-13,18,Friday,image,Fitness,Home Feed,0,462,11,9,68,31139,3,99,5
2025-06-29,12,Sunday,reel,Lifestyle,Explore,0,1379,46,71,183,27770,8,127,6
2025-05-27,6,Tuesday,carousel,Beauty,Home Feed,1,52,0,2,5,4027,797,123,5
2025-09-25,10,Thursday,reel,Fitness,Reels Feed,1,225,7,6,0,6418,697,130,4
2025-06-29,19,Sunday,reel,Food,Profile,1,100,2,7,11,2371,346,143,9
2025-07-28,11,Monday,image,Comedy,Explore,1,13,0,1,1,1855,428,142,9
2025-10-30,8,Thursday,image,Food,Home Feed,1,367,7,24,54,6926,544,103,14
2024-12-01,12,Sunday,image,Comedy,Home Feed,0,46,1,3,13,2219,430,132,13
2025-10-09,6,Thursday,reel,Travel,Hashtags,1,173,10,11,23,5593,651,114,5
2025-07-22,19,Tuesday,carousel,Travel,Profile,1,149,5,5,26,5107,411,122,5
2025-08-18,4,Monday,reel,Travel,Explore,1,194,5,13,31,14629,791,113,5
2025-01-31,15,Friday,image,Lifestyle,External,0,53,1,6,1,1757,650,111,7
2024-11-24,19,Sunday,image,Food,Home Feed,0,716,21,41,99,33866,469,112,4
2025-07-22,17,Tuesday,image,Comedy,External,0,413,12,31,65,8462,720,122,7
2025-06-14,11,Saturday,image,Fitness,Reels Feed,0,313,9,21,51,8858,683,103,12
2025-03-27,23,Thursday,reel,Fashion,Hashtags,0,120,1,3,21,5568,569,104,9
2025-05-08,21,Thursday,image,Fitness,External,0,291,7,23,40,5088,904,119,12
2025-05-26,0,Monday,image,Fashion,Hashtags,0,201,7,17,46,7878,304,121,6
2025-09-14,7,Sunday,image,Music,Reels Feed,0,269,6,14,33,5858,875,111,6
2025-01-20,3,Monday,reel,Fitness,Hashtags,0,62,2,6,13,2248,731,110,3
2025-07-22,16,Tuesday,carousel,Beauty,External,1,298,5,10,37,5534,293,100,10
2025-05-03,2,Saturday,carousel,Beauty,Profile,1,136,5,7,16,3525,640,113,4
2025-02-03,21,Monday,image,Technology,External,0,153,4,6,26,2474,496,111,8
2025-07-19,17,Saturday,image,Food,Hashtags,0,435,14,31,62,9985,381,116,6
2025-11-08,7,Saturday,image,Fashion,External,0,338,8,22,37,20421,384,101,6
2025-08-28,20,Thursday,reel,Fashion,Profile,0,38,1,2,9,2085,274,132,7
2025-05-08,20,Thursday,carousel,Food,Hashtags,0,231,5,13,42,10554,604,107,8
2025-07-26,0,Saturday,image,Lifestyle,Explore,1,191,6,13,32,5802,994,101,7
2025-07-28,8,Monday,image,Technology,Profile,0,672,27,30,69,4563,663,117,6
2024-11-20,1,Wednesday,image,Lifestyle,Home Feed,0,190,5,9,34,4095,59,125,11
2025-08-31,9,Sunday,image,Lifestyle,Home Feed,0,53,4,4,7,1397,28,108,5
2025-01-17,13,Friday,carousel,Lifestyle,Reels Feed,1,62,4,1,11,8173,228,125,8
2024-11-28,0,Thursday,image,Food,Explore,0,468,16,26,52,7660,125,124,10
2025-01-13,9,Monday,image,Lifestyle,Explore,0,272,9,0,0,7682,633,114,4
2025-05-12,7,Monday,carousel,Beauty,Profile,0,229,9,6,39,5826,881,119,11
2025-04-12,2,Saturday,image,Travel,Hashtags,0,65,1,5,12,5439,640,112,12
2025-08-26,12,Tuesday,image,Music,Profile,1,641,16,23,94,12526,770,126,11
2025-08-24,2,Sunday,image,Fashion,Explore,0,169,9,13,21,3786,342,119,7
2025-06-11,6,Wednesday,image,Fashion,External,0,608,16,26,83,11652,634,108,11
2025-01-26,22,Sunday,image,Music,Reels Feed,0,312,8,8,37,17862,643,107,13
2025-01-05,22,Sunday,image,Food,Profile,0,910,32,47,118,26596,33,131,8
2025-07-26,10,Saturday,image,Fitness,Hashtags,0,93,2,4,12,1900,61,96,6
2025-01-23,13,Thursday,image,Food,Profile,0,60,2,5,10,5811,434,121,6
2025-06-05,6,Thursday,carousel,Fashion,Explore,1,204,7,12,30,9366,731,131,9
2024-12-31,18,Tuesday,reel,Fashion,Explore,0,279,2,9,45,7613,964,121,16
2025-07-12,14,Saturday,carousel,Music,Explore,0,629,16,37,94,23825,938,131,7
2025-07-16,7,Wednesday,image,Lifestyle,Reels Feed,0,148,6,13,16,7959,64,141,10
2025-04-01,0,Tuesday,image,Food,Reels Feed,0,73,2,6,19,5149,522,122,8
2025-07-15,2,Tuesday,reel,Comedy,Reels Feed,1,109,3,5,0,6467,612,148,11
2025-03-01,7,Saturday,carousel,Music,External,1,194,7,15,42,3086,843,111,4
2025-03-10,12,Monday,reel,Beauty,Hashtags,1,327,6,14,56,7077,475,108,7
2025-10-24,17,Friday,carousel,Fashion,External,0,123,2,0,22,3511,464,116,11
2024-12-09,6,Monday,carousel,Music,Hashtags,0,246,7,21,32,5113,695,133,8
2025-05-22,19,Thursday,image,Food,Reels Feed,1,129,3,5,21,11266,213,125,6
2025-03-27,5,Thursday,reel,Fashion,Home Feed,0,116,3,4,19,3009,776,134,7
2025-10-28,7,Tuesday,carousel,Fitness,External,0,412,15,12,67,15900,3,117,8
